"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-27","10.51"," 1421"," 1551","0.00","0.0","0.0","38","54","21",,"  150","  160","23.0","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-28","8.95"," 1631"," 1631","0.00","0.0","0.0","48","62","33",,"  340","  340","23.0","25.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-29","10.29"," 1300"," 1259","0.00","0.0","0.0","41","54","27",,"  360","   10","17.0","21.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-01","5.59"," 1624"," 1623","0.00","0.0","0.0","34","47","20",,"  130","  130","16.1","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-02","5.14"," 1554"," 1557","0.00","0.0","0.0","41","57","24",,"  180","  180","14.1","17.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-03","8.50"," 1529"," 1533","0.00","0.0","0.0","45","64","25",,"  360","  350","25.9","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-04","4.70"," 1602"," 1602","0.00","0.0","0.0","49","71","27",,"  130","  130","17.9","19.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-05","7.61"," 1353"," 1328","0.00","0.0","0.0","53","76","29",,"  170","  180","23.0","36.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-06","9.40"," 0729"," 0728","0.00","0.0","0.0","48","61","34",,"   20","   20","25.1","29.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-07","6.71"," 2322"," 2314","0.00","0.0","0.0","40","52","27",,"  340","  340","23.9","29.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-08","32.88"," 0718"," 1018","1.25","4.5","0.0","33","43","22",,"  330","  330","53.9","62.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-09","8.95"," 0257"," 2357","0.00","0.0","3.0","19","22","16",,"   20","  360","15.0","17.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-10","7.83"," 1614"," 1614","0.00","0.0","1.0","26","35","16",,"  360","  360","17.0","19.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-11","5.82"," 2218"," 2152","0.00","0.0","0.0","32","43","20",,"  360","  350","13.0","15.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-12","5.82"," 0321"," 0318","0.00","0.0","0.0","33","39","26",,"  350","  350","23.0","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-13","4.70"," 1213"," 1218","0.00","0.0","0.0","35","46","23",,"   30","   40","14.1","15.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-14","7.61"," 2116"," 2118","0.00","0.0","0.0","40","56","23",,"  330","  340","21.9","23.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-15","12.30"," 0434"," 0548","0.00","0.0","0.0","29","38","19",,"  350","  360","25.9","29.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-16","7.16"," 1636"," 1635","0.00","0.0","0.0","32","49","15",,"   70","   70","17.9","21.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-17","9.17"," 0456"," 0449","0.00","0.0","0.0","38","48","28",,"  170","  160","21.9","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-18","13.87"," 0943"," 1059","0.00","0.0","0.0","37","50","23",,"  340","  340","28.0","32.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-19","17.00"," 2007"," 2006","0.00","0.0","0.0","44","64","24",,"  330","  330","44.1","53.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-20","20.36"," 0410"," 0746","0.08","1.0","0.0","34","37","31",,"  330","  340","32.0","38.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-21","11.63"," 1915"," 1621","0.00","0.0","0.0","37","47","26",,"  190","  180","23.0","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-22","6.26"," 0935"," 0935","0.00","0.0","0.0","41","59","23",,"  180","  180","16.1","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-23","15.66"," 2359"," 2357","0.00","0.0","0.0","50","67","33",,"  330","  320","36.0","42.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-24","18.34"," 0213"," 0349","0.00","0.0","0.0","40","56","24",,"  330","  330","38.0","44.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-25","7.16"," 1537"," 1536","0.00","0.0","0.0","44","66","21",,"  190","  190","28.0","32.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-26","19.91"," 0353"," 0401","0.00","0.0","0.0","44","57","30",,"  330","  330","51.9","59.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-27","13.87"," 1435"," 1455","0.00","0.0","0.0","45","66","24",,"  340","  340","31.1","36.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-28","12.97"," 1239"," 1249","0.00","0.0","0.0","42","62","21",,"  140","  150","25.1","30.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-29","9.84"," 0942"," 1044","0.04","0.0","0.0","43","55","30",,"  340","  350","30.0","33.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-30","13.20"," 1426"," 1540","0.00","0.0","0.0","40","51","29",,"  340","  340","32.0","36.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-03-31","12.75"," 0852"," 1257","0.00","0.0","0.0","39","53","25",,"  320","  330","23.9","36.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-01","6.93"," 0839"," 1023","0.00","0.0","0.0","40","56","24",,"  310","  270","16.1","19.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-02","32.44"," 1421"," 1420","0.00","0.0","0.0","39","46","31",,"  320","  320","51.0","62.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-03","17.00"," 0912"," 1129","0.00","0.0","0.0","32","43","20",,"  340","  340","32.0","36.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-04","6.71"," 1336"," 1336","0.00","0.0","0.0","50","76","24",,"  320","  320","25.1","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-05","24.16"," 0652"," 0706","0.00","0.0","0.0","47","65","29",,"  330","  330","51.9","59.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-06","9.17"," 2013"," 2012","0.00","0.0","0.0","38","53","22",,"  360","  360","31.1","34.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-07","15.66"," 0824"," 0824","0.03","0.0","0.0","34","46","22",,"  320","  320","36.9","45.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-08","7.83"," 1445"," 1445","0.00","0.0","0.0","43","65","20",,"  360","  350","23.0","29.1"
